,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lasso__alpha,param_poly__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
118,0.32441048622131347,0.0994602494166034,0.058796358108520505,0.004098447439502135,0.05968456995122311,4,"{'lasso__alpha': 0.05968456995122311, 'poly__degree': 4}",-0.14906784058694014,-0.14889811589612068,-0.18097568950587892,-0.21079340494483387,-0.1590752794887639,-0.16976206608450747,0.023609654436513368,57,-0.17121992894043025,-0.17010841745302258,-0.16507667407161092,-0.15580554188693618,-0.1670051329075353,-0.16584313905190703,0.005473454566854782
119,1.3635675430297851,0.42528172078062665,0.25246734619140626,0.020446704178028012,0.05968456995122311,5,"{'lasso__alpha': 0.05968456995122311, 'poly__degree': 5}",-0.1490678407722153,-0.14889811589612068,-0.18097568950587892,-0.21079332158954184,-0.15917178594943343,-0.16978135074263803,0.023600918758151304,58,-0.17121992884303305,-0.17010841745302258,-0.16507667407161092,-0.1558055071300064,-0.16692536069656105,-0.1658271776388468,0.0054701722334343705
120,0.002454996109008789,8.862528826044007e-05,0.0007121562957763672,7.374391098713448e-05,0.07880462815669913,1,"{'lasso__alpha': 0.07880462815669913, 'poly__degree': 1}",-0.15599836971788178,-0.15256616064084547,-0.1886247122834258,-0.21443633101968193,-0.15994733252188795,-0.17431458123674456,0.023788358054612442,70,-0.17688937902916202,-0.1754306653920916,-0.17047238817609853,-0.1615221719722321,-0.173703145094771,-0.17160354993287105,0.005475560433828055
121,0.009590721130371094,0.003627958399121266,0.0022881031036376953,0.0001571309036476667,0.07880462815669913,2,"{'lasso__alpha': 0.07880462815669913, 'poly__degree': 2}",-0.15492296985716184,-0.15236181004086968,-0.18850671110835887,-0.21459121730211386,-0.16142675524514227,-0.1743618927107293,0.023864901361715856,74,-0.17642395016222806,-0.17511892667973944,-0.17014907626264428,-0.1609839669417295,-0.1719244895859394,-0.17092008192645614,0.005445227787497627
122,0.06962475776672364,0.03634182724473355,0.014990091323852539,0.006677880705614579,0.07880462815669913,3,"{'lasso__alpha': 0.07880462815669913, 'poly__degree': 3}",-0.15492296985716184,-0.15236181004086968,-0.18850671110835887,-0.21459121730211386,-0.1614264365286107,-0.174361828967423,0.023864935911867426,71,-0.17642395016222806,-0.17511892667973944,-0.17014907626264428,-0.1609839669417295,-0.17192419282407398,-0.17092002257408306,0.0054452168408494865
123,0.3805596351623535,0.20247241100123503,0.05987515449523926,0.0034789438749663697,0.07880462815669913,4,"{'lasso__alpha': 0.07880462815669913, 'poly__degree': 4}",-0.15492296985716184,-0.15236181004086968,-0.18850671110835887,-0.21459121730211386,-0.1614264365286107,-0.174361828967423,0.023864935911867426,71,-0.17642395016222806,-0.17511892667973944,-0.17014907626264428,-0.1609839669417295,-0.17192419282407398,-0.17092002257408306,0.0054452168408494865
124,1.6575852394104005,0.8582474585656293,0.25449361801147463,0.024123262858281536,0.07880462815669913,5,"{'lasso__alpha': 0.07880462815669913, 'poly__degree': 5}",-0.15492296985716184,-0.15236181004086968,-0.18850671110835887,-0.21459121730211386,-0.1614264365286107,-0.174361828967423,0.023864935911867426,71,-0.1764239501622281,-0.17511892667973944,-0.17014907626264428,-0.1609839669417295,-0.17192419282407398,-0.17092002257408306,0.005445216840849493
125,0.0027171611785888673,0.0005623949447836977,0.00074005126953125,0.00015298924709247067,0.10404983103657853,1,"{'lasso__alpha': 0.10404983103657853, 'poly__degree': 1}",-0.1655394551239021,-0.15859713335426964,-0.19975103211923126,-0.2214773262352206,-0.16615030762399627,-0.18230305089132398,0.024260897271272456,83,-0.1853582256713044,-0.18382409113900813,-0.1789029012570563,-0.16963325428679812,-0.18203457157660674,-0.17995060878615474,0.005588104898055055
126,0.009541988372802734,0.004362873680534938,0.0023833751678466798,0.00029393507214216637,0.10404983103657853,2,"{'lasso__alpha': 0.10404983103657853, 'poly__degree': 2}",-0.1651021818951595,-0.1585669578824783,-0.2000587467895157,-0.2214773262352206,-0.16667068959866646,-0.1823751804802081,0.02430434239921948,84,-0.1852313574774861,-0.1836198255748978,-0.17890944695508626,-0.16963325428679812,-0.1804302115999212,-0.1795648191788379,0.0054473320288204235
127,0.06730380058288574,0.04043547508013982,0.015139055252075196,0.006773093764882916,0.10404983103657853,3,"{'lasso__alpha': 0.10404983103657853, 'poly__degree': 3}",-0.1651021818951595,-0.1585669578824783,-0.2000587467895157,-0.2214773262352206,-0.16667068959866646,-0.1823751804802081,0.02430434239921948,84,-0.1852313574774861,-0.1836198255748978,-0.17890944695508626,-0.16963325428679812,-0.1804302115999212,-0.1795648191788379,0.0054473320288204235
128,0.3690965175628662,0.22883192610845246,0.05962367057800293,0.0047495146193611715,0.10404983103657853,4,"{'lasso__alpha': 0.10404983103657853, 'poly__degree': 4}",-0.1651021818951595,-0.1585669578824783,-0.2000587467895157,-0.2214773262352206,-0.16667068959866646,-0.1823751804802081,0.02430434239921948,84,-0.1852313574774861,-0.1836198255748978,-0.17890944695508626,-0.16963325428679812,-0.1804302115999212,-0.1795648191788379,0.0054473320288204235
129,1.6163051128387451,0.9843031706611465,0.2532813549041748,0.0195405484208728,0.10404983103657853,5,"{'lasso__alpha': 0.10404983103657853, 'poly__degree': 5}",-0.16510218189515952,-0.1585669578824783,-0.2000587467895157,-0.2214773262352206,-0.16667068959866646,-0.1823751804802081,0.024304342399219477,84,-0.1852313574774861,-0.1836198255748978,-0.17890944695508626,-0.16963325428679812,-0.1804302115999212,-0.1795648191788379,0.0054473320288204235
130,0.002378988265991211,4.663857441761222e-05,0.0006786346435546875,4.998850203338411e-05,0.1373823795883264,1,"{'lasso__alpha': 0.1373823795883264, 'poly__degree': 1}",-0.18240700833888512,-0.17016681562234168,-0.2175787692918465,-0.2340956562398312,-0.17759794510628346,-0.19636923891983757,0.02492789234289613,103,-0.19989247438568986,-0.19845810631882793,-0.19345112775813678,-0.1834122471805662,-0.1965608235945797,-0.19435495584756007,0.005880911256825279
