,Year,Age,Tm,Lg,G,PA,AB,R,H,SB,BA,HR,TB,2B,3B,RBI,BB,SO,position,name,debut
12,1985,26.0,SFG,NL,54.0,130.0,121.0,12.0,23.0,1.0,0.19,2.0,34.0,3.0,1.0,10.0,5.0,23.0,"Shortstop, Third Baseman and Second Baseman",Ricky Adams,1982-09-15
5,1985,24.0,DET,AL,15.0,27.0,27.0,4.0,5.0,0.0,0.185,0.0,6.0,1.0,0.0,1.0,0.0,9.0,Shortstop and Second Baseman,Doug Baker,1984-07-02
17,1985,27.0,CLE,AL,31.0,73.0,67.0,5.0,12.0,0.0,0.179,0.0,16.0,4.0,0.0,7.0,3.0,9.0,Catcher,Butch Benton,1978-09-14
6,1985,22.0,CHW,AL,95.0,248.0,232.0,20.0,53.0,8.0,0.228,3.0,77.0,13.0,1.0,15.0,14.0,44.0,Outfielder,Daryl Boston,1984-05-13
8,1985,24.0,LAD,NL,24.0,63.0,53.0,4.0,7.0,0.0,0.132,3.0,16.0,0.0,0.0,6.0,7.0,10.0,First Baseman,Sid Bream,1983-09-01
9,1985,24.0,PIT,NL,26.0,108.0,95.0,14.0,27.0,0.0,0.284,3.0,43.0,7.0,0.0,15.0,11.0,14.0,First Baseman,Sid Bream,1983-09-01
